SHEETBAR,DATE,SECCHI,SECCHIQF,ZICE,ZICEQF,ZSNOW,ZSNOWQF,VEGDENS,VEGTYPE,UTMZONE,NORTHING,EASTING,FLDEAST,FLDNORTH,Z,ZQF,TEMP,TEMPQF,DO,DOQF,PH,PHQF,TURB,TURBQF,COND,CONDQF,VEL,VELQF,SRP,SRPQF,TSP,TSPQF,TP,TPQF,TN,TNQF,TSN,TSNQF,SS,SSQF,NHX,NHXQF,NOX,NOXQF,SI,SIQF,CL,CLQF,HABCLASS,CHLcal
42000054,7/19/1993,40,,,,,,,,15,4833712,642255,,,0.2,,23.3,,6.1,,7.3,,22,,426,,0.66,,,,,,,,,,,,,,,,,,,,,,,
42000055,7/19/1993,48,,,,,,1,E,15,4833353,641852,,,0.2,,23.1,,6.4,,7.1,,22,,463,,0.52,,0.198,,,,0.224,,3.613,,,,35.2,,0.059,,2.429,,,,,,,7.84015
42000056,7/19/1993,30,,,,,,,,15,4834008,640241,,,0.2,,23,,6.7,,7.5,,36,,479,,0.3,,,,,,,,,,,,,,,,,,,,,,,
42000058,7/19/1993,32,,,,,,,,15,4833636,640299,,,0.2,,23.2,,6.8,,7.6,,31,,477,,0.3,,,,,,,,,,,,,,,,,,,,,,,
42000059,7/19/1993,32,,,,,,,,15,4833512,640301,,,0.2,,23.2,,6.8,,7.6,,32,,479,,0.2,,0.207,,,,0.225,,3.377,,,,41.4,,0.056,,2.738,,,,,,,6.55327
42000060,7/19/1993,21,,,,,,,,15,4833330,640033,,,0.2,,22.7,,6.3,,7.5,,53,,484,,0.29,,0.196,,,,0.28,,3.993,,,,86.6,,0.077,,2.922,,,,,,,6.79456
42000061,7/19/1993,26,,,,,,,,15,4831108,640073,,,0.2,,23.2,,6.7,,7.5,,52,,482,,0.27,,,,,,,,,,,,,,,,,,,,,,,
42000062,7/19/1993,26,,,,,,,,15,4829702,640101,,,0.2,,22.9,,6.3,,7.2,,48,,487,,0.25,,0.197,,,,0.285,,4.626,,,,84.5,,0.114,,2.895,,,,,,,5.99026
42000064,7/19/1993,37,,,,,,,,15,4829359,640812,,,0.2,,23.5,,6.9,,7.5,,35,,484,,0.3,,,,,,,,,,,,,,,,,,,,,,,
42000065,7/19/1993,44,,,,,,,,15,4829718,641474,,,0.2,,23.7,,6.9,,7.4,,25,,473,,0.38,,,,,,,,,,,,,,,,,,,,,,,
42000066,7/19/1993,48,,,,,,,,15,4830116,641481,,,0.2,,23.8,,7,,7.4,,22,,468,,0.35,,0.197,,,,0.226,,3.269,,,,40.5,,0.053,,2.541,,,,,,,7.19671
42000066,7/19/1993,48,,,,,,,,15,4830116,641481,,,2.3,,23.8,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
